hashtag,video_url,username,caption,views,full_text
AfricanInUK,https://www.tiktok.com/@officialabenauk/video/7265049227196140805,officialabenauk,officialabenauk,0,officialabenauk
AfricanInUK,https://www.tiktok.com/@moridiyyah_anu/video/7550426622105505046,moridiyyah_anu,moridiyyah_anu,0,moridiyyah_anu
AfricanInUK,https://www.tiktok.com/@dailymailuk/video/7542556058334596354,dailymailuk,dailymailuk,0,dailymailuk
AfricanInUK,https://www.tiktok.com/@everydayhealthtipsuk/video/7518052187407240470,everydayhealthtipsuk,everydayhealthtipsuk,0,everydayhealthtipsuk
AfricanInUK,https://www.tiktok.com/@molabsfoodmart_uk/video/7548146978631224598,molabsfoodmart_uk,molabsfoodmart_uk,0,molabsfoodmart_uk
AfricanInUK,https://www.tiktok.com/@justkarabochauke/video/7392130048347671839,justkarabochauke,justkarabochauke,0,justkarabochauke
AfricanInUK,https://www.tiktok.com/@fave_smith2/video/7405853509498785057,fave_smith2,fave_smith2,2,fave_smith2
AfricanInUK,https://www.tiktok.com/@tattyark9/video/7145756421211114757,tattyark9,tattyark9,9,tattyark9
AfricanInUK,https://www.tiktok.com/@africanonlinegroceryuk/video/7548338786862746902,africanonlinegroceryuk,africanonlinegroceryuk,0,africanonlinegroceryuk
AfricanInUK,https://www.tiktok.com/@maameserwaa_asare/video/7499566236930428182,maameserwaa_asare,maameserwaa_asare,0,maameserwaa_asare
AfricanInUK,https://www.tiktok.com/@ajokefoodhub/video/7347060210109910277,ajokefoodhub,ajokefoodhub,0,ajokefoodhub
AfricanInUK,https://www.tiktok.com/@lyricalmindsuk/video/7482733574777507094,lyricalmindsuk,lyricalmindsuk,0,lyricalmindsuk
AfricanInUK,https://www.tiktok.com/@librakingent/video/7318736863836048683,librakingent,librakingent,0,librakingent
AfricanInUK,https://www.tiktok.com/@peace.o22/video/7537614944225840406,peace.o22,peace.o22,22,peace.o22
